article_id,title,newspaper_id,newspaper_title,page,date,category,words,illustrated,corrections,url,page_url
85710427,"Perth To Sydney In 24 Hours Less MELBOURNE, Tuesday.",275,"The Daily News (Perth, WA : 1882 - 1950)",3 S,1936-06-09,Article,125,N,0,http://nla.gov.au/nla.news-article85710427,http://trove.nla.gov.au/newspaper/page/8417725
92387461,LOCKHEED BOMBERS Remarkable Test Flight SYDNEY TO PERTH IN 11 HOURS,291,"Chronicle (Adelaide, SA : 1895 - 1954)",45,1940-04-11,Article,158,N,0,http://nla.gov.au/nla.news-article92387461,http://trove.nla.gov.au/newspaper/page/8694774
125056256,"FAST AVIATIGN MELBOURNE TO SYDNEY JOURNEY WILL TAKE FIVE HOURS. PERTH, May 5.",395,"Daily Herald (Adelaide, SA : 1910 - 1924)",5,1914-05-06,Article,113,N,0,http://nla.gov.au/nla.news-article125056256,http://trove.nla.gov.au/newspaper/page/10580899
128747702,"Southern Cross SUCCESSFUL FLIGHT TO PERTH 1950 Miles in 23¼ Hours Sydney, Monday Evening.",632,The West Wyalong Advocate (NSW : 1928 - 1954),1,1928-08-14,Article,53,N,0,http://nla.gov.au/nla.news-article128747702,http://trove.nla.gov.au/newspaper/page/14571824
131203294,By Plane From Perth To Sydney in 30 Hours,461,"News (Adelaide, SA : 1923 - 1954)",5,1937-04-15,Article,460,N,0,http://nla.gov.au/nla.news-article131203294,http://trove.nla.gov.au/newspaper/page/11197873
135431361,"PERTH TO SYDNEY Air Journey in 24 Hours NEW SERVICE PLANNED ADELAIDE, Thursday.",356,Newcastle Morning Herald and Miners' Advocate (NSW : 1876 - 1954),8,1930-09-05,Article,103,N,0,http://nla.gov.au/nla.news-article135431361,http://trove.nla.gov.au/newspaper/page/10255526
137790345,PERTH-SYDNEY RECORD Broken by Nine Hours CLOSED CAR'S FINE FEAT,356,Newcastle Morning Herald and Miners' Advocate (NSW : 1876 - 1954),8,1929-09-24,Article,230,N,0,http://nla.gov.au/nla.news-article137790345,http://trove.nla.gov.au/newspaper/page/15166703
141864971,"Sydney to Melbourne. A FIVE HOURS' TRIP. PERTH, Tuesday.",687,"Daily Advertiser (Wagga Wagga, NSW : 1911 - 1954)",2,1914-05-06,Article,3,N,0,http://nla.gov.au/nla.news-article141864971,http://trove.nla.gov.au/newspaper/page/15534533
147423998,PERTH TO SYDNEY. NEW FLIGHT RECORDS. TIME 3 HOURS 32 MINUTES.,735,"Great Southern Herald (Katanning, WA : 1901 - 1954)",2,1934-09-15,Article,245,N,0,http://nla.gov.au/nla.news-article147423998,http://trove.nla.gov.au/newspaper/page/18106411
155536056,From Sydney to Perth. BY MOTOR CYCLE IN 7 DAYS 9 1/2 HOURS.,809,"The Age (Melbourne, Vic. : 1854 - 1954)",8,1924-11-28,Article,59,N,0,http://nla.gov.au/nla.news-article155536056,http://trove.nla.gov.au/newspaper/page/18720974
